date,newCases,newDeaths,vaccinated_per_100_inhabitants,vaccinated_second_per_100_inhabitants,newCasesRolling,newDeathsRolling
2020-05-14,249,5,0.0,0.0,137.8571,5.8571
2020-05-15,0,0,0.0,0.0,123.8571,5.0
2020-05-16,218,14,0.0,0.0,155.0,7.0
2020-05-17,134,3,0.0,0.0,172.5714,7.2857
2020-05-18,345,21,0.0,0.0,207.1429,9.5714
2020-05-19,313,10,0.0,0.0,204.1429,9.2857
2020-05-20,264,8,0.0,0.0,217.5714,8.7143
2020-05-21,191,3,0.0,0.0,209.2857,8.4286
2020-05-22,348,3,0.0,0.0,259.0,8.8571
2020-05-23,0,0,0.0,0.0,227.8571,6.8571
2020-05-24,175,28,0.0,0.0,233.7143,10.4286
2020-05-25,698,8,0.0,0.0,284.1429,8.5714
2020-05-26,158,22,0.0,0.0,262.0,10.2857
2020-05-27,0,0,0.0,0.0,224.2857,9.1429
2020-05-28,833,26,0.0,0.0,316.0,12.4286
2020-05-29,939,37,0.0,0.0,400.4286,17.2857
2020-05-30,0,0,0.0,0.0,400.4286,17.2857
2020-05-31,649,18,0.0,0.0,468.1429,15.8571
2020-06-01,182,18,0.0,0.0,394.4286,17.2857
2020-06-02,916,26,0.0,0.0,502.7143,17.8571
2020-06-03,133,11,0.0,0.0,521.7143,19.4286
2020-06-04,151,9,0.0,0.0,424.2857,17.0
2020-06-05,16,23,0.0,0.0,292.4286,15.0
2020-06-06,0,0,0.0,0.0,292.4286,15.0
2020-06-07,1439,21,0.0,0.0,405.2857,15.4286
2020-06-08,139,28,0.0,0.0,399.1429,16.8571
2020-06-09,541,28,0.0,0.0,345.5714,17.1429
2020-06-10,1666,9,0.0,0.0,564.5714,16.8571
2020-06-11,310,19,0.0,0.0,587.2857,18.2857
2020-06-12,245,18,0.0,0.0,620.0,17.5714
2020-06-13,382,1,0.0,0.0,674.5714,17.7143
2020-06-14,43,19,0.0,0.0,475.1429,17.4286
2020-06-15,998,32,0.0,0.0,597.8571,18.0
2020-06-16,478,41,0.0,0.0,588.8571,19.8571
2020-06-17,199,29,0.0,0.0,379.2857,22.7143
2020-06-18,150,38,0.0,0.0,356.4286,25.4286
2020-06-19,3167,4,0.0,0.0,773.8571,23.4286
2020-06-20,84,0,0.0,0.0,731.2857,23.2857
2020-06-21,667,33,0.0,0.0,820.4286,25.2857
2020-06-22,118,20,0.0,0.0,694.7143,23.5714
2020-06-23,1769,64,0.0,0.0,879.1429,26.8571
2020-06-24,894,51,0.0,0.0,978.4286,30.0
2020-06-25,1068,31,0.0,0.0,1109.5714,29.0
2020-06-26,447,13,0.0,0.0,721.0,30.2857
2020-06-27,48,28,0.0,0.0,715.8571,34.2857
2020-06-28,5483,62,0.0,0.0,1403.8571,38.4286
2020-06-29,568,40,0.0,0.0,1468.1429,41.2857
2020-06-30,1612,33,0.0,0.0,1445.7143,36.8571
2020-07-01,998,36,0.0,0.0,1460.5714,34.7143
2020-07-02,525,69,0.0,0.0,1383.0,40.1429
2020-07-03,835,28,0.0,0.0,1438.4286,42.2857
